Id_Materia;Nombre
337;GESTIÓN DEL RECURSO AIRE
338;USO Y GESTIÓN DE RECURSOS NATURALES
339;COMUNICACIÓN RADIAL
341;DERECHO PRIVADO
342;TRAMITACIONES  II
343;TEORÍA DEL ESTADO
344;DERECHO PÚBLICO
345;NEGOCIACIÓN
346;TEORÍA DE LA ARGUMENTACIÓN JURÍDICA
348;DERECHO CONSTITUCIONAL
349;TEORÍA GENERAL DEL PROCESO
350;ORATORIA
351;DERECHO DEL CONSUMIDOR
352;DERECHO PROCESAL PENAL
353;RÉGIMEN TRIBUTARIO
354;MARKETING DE LOS SERVICIOS PROFESIONALES
355;DERECHO BANCARIO Y MERCADO DE CAPITALES
356;DERECHO AMBIENTAL
357;DERECHO PROCESAL CIVIL
358;CONTABILIDAD BÁSICA Y DE GESTIÓN
359;SOCIOLOGÍA GENERAL
360;GESTIÓN DEL RECURSO SUELO
362;TRATAMIENTO DE RESIDUOS
363;ALGORITMIA I
364;HARDWARE I
365;TÉCNICAS DIGITALES
366;HISTORIA DE LA CULTURA I
367;EXPRESIÓN CORPORAL
368;DANZA I
370;EVALUACIÓN DE IMPACTO AMBIENTAL I
373;DERECHO Y LEGISLACIÓN AMBIENTAL
374;TEORÍA Y PRÁCTICA DE LA COMUNICACIÓN
375;INVESTIGACIÓN DE MERCADO
376;SIST. DE INFORMACIÓN
377;TECNOLOGÍA AGROPECUARIA
378;MERCADOS AGROALIMENTARIOS
379;ÁLGEBRA
380;MEDICIONES DEL MEDIO AMBIENTAL
381;SISTEMAS DE CONTROL DE GESTIÓN AMBIENTAL
382;EVALUACIÓN DE IMPACTO AMBIENTAL II
384;DERECHO PRIVADO I
385;DERECHO PRIVADO II
387;DERECHO INTEGRAL REGIONAL
390;CÁLCULO NUMÉRICO
391;NUEVAS TENDENCIAS DE MERCADOTECNIA
392;GESTIÓN Y EVALUACIÓN DEL PLAN DE MARKETING
393;ESTADISTÍCA APLICADA A LA PUBLICIDAD
394;PRODUCCIÓN RADIAL
395;COMERCIO INTERNACIONAL
396;TOMA DE DECISIÓN
397;DIAGNÓSTICO ORGANIZACIONAL
398;EVALUACIÓN Y DISEÑO DE PUESTOS
400;IMPACTO AMBIENTAL Y EMPRESA
401;DERECHO CIV. Y COM.
405;PRODUCCIÓN TV II
406;PROD. RADIAL
407;ADMIN. DE BASES DE DATOS (ORACLE) INICIA
408;SOCIEDAD Y SISTEMA EDUCATIVO I
409;APRENDIZAJE I
410;PRÁCTICA DOCENTE I
411;FÍSICA I
412;SOCIEDAD Y SISTEMA EDUCATIVO II
413;APRENDIZAJE II
414;PRÁCTICA DOCENTE II
415;QUÍMICA I
416;LÓGICA
417;INFORMÁTICA
418;INSTITUCIÓN ESCOLAR
419;INSTITUCIÓN ESCOLAR I
420;ENSEÑANZA Y CURRÍCULO I
421;MATERIALES I
422;PRÁCTICA DOCENTE III
423;FÍSICA II
424;PSICOLOGÍA Y CULTURA DEL ADOLESCENTE
425;INSTITUCIÓN ESCOLAR II
426;ENSEÑANZA Y CURRÍCULO II
427;MATERIALES II
428;PRÁCTICA DOCENTE IV
429;TECNOLOGÍA DE LA INFORMACIÓN Y LA COMUNI
430;SISTEMAS DE REPRESENTACIÓN
431;TALLER DE INVESTIGACIÓN I
432;INVESTIGACIÓN EDUCATIVA I
433;SISTEMAS TECNOLÓGICOS I
434;PRÁCTICA DOCENTE V
435;SOCIEDAD, CIENCIA Y TECNOLOGÍA
436;ECONOMÍA Y PRODUCCIÓN
437;GESTIÓN DE SISTEMAS DE PRODUCCIÓN
438;INVESTIGACIÓN EDUCATIVA II
439;SISTEMAS TECNOLÓGICOS II
440;PRÁCTICA DOCENTE VI
441;SISTEMAS DE PRODUCCIÓN DE BIENES Y SERVI
442;ELECTRICIDAD Y ELECTROTECNIA
443;TALLER DE INVESTIGACIÓN II
444;PRÁCTICA DOCENTE VII
445;EDUCACIÓN TECNOLÓGICA I
446;PROYECTO TECNOLÓGICO I
447;SISTEMAS TECNOLÓGICOS DE AVANZADA
448;BIOTECNOLOGÍA
449;PRÁCTICA DOCENTE VIII
450;EDUCACIÓN TECNOLÓGICA II
451;PROYECTO TECNOLÓGICO II
452;ELECTRÓNICA Y CONTROL
453;ÉTICA PROFESIONAL
454;ESTADÍSTICA
455;LOGÍSTICA DE ABASTECIMIENTO
456;SERVUCCIÓN
457;LOGÍSTICA DE PRODUCCIÓN
459;CALIDAD Y LOGÍSTICA
460;AUDITORÍA DE LOGÍSTICA
461;LOGÍSTICA DE DISTRIBUCIÓN
462;ADMINISTRACIÓN DE OPERACIONES
463;CADENA DE ABASTECIMIENTO
464;TRANSPORTES
465;LOGÍSTICA Y REDES DE COMUNICACIÓN
467;COOPERATIVISMO Y MUTUALISMO
468;REDES Y COMUNICACIONES
469;ELECTRÓNICA  I
470;REDES Y COMUNICACIONES  I
471;TEORÍA DE SEÑALES
472;REDES Y COMUNICACIONES  II
473;ELECTRÓNICA  II
474;SEGURIDAD EN REDES
475;REDES Y COMUNICACIONES  III
476;SEMINARIO DE REDES
477;COMUNICACIÓN INSTITUCIONAL
478;ALMACENAMIENTO I
479;ALMACENAMIENTO II
480;IMPLEMENTACIÓN DE NORMAS DE CALIDAD
481;TIPOLOGÍA DE GRANOS
482;CERTIFICACIÓN DE CALIDAD ALIMENTARIA
483;IMPORTACIONES
484;CLASIFICACIÓN ARANCELARIA I
485;DERECHO TRIBUTARIO I
486;VALORACIÓN I - IMPORTACIÓN
487;PRÁCTICA PROFESIONAL I - IMPORTACIÓN
488;EXPORTACIONES
489;CLASIFICACIÓN ARANCELARIA II
490;DERECHO TRIBUTARIO II
491;VALORACIÓN II - EXPORTACIÓN
492;PRÁCTICA PROFESIONAL II - EXPORTACIÓN
