Id_Alumno;Id_Carrera;Semestre_Ingreso;Año_Ingreso;Id_Ctro_Ext;Id_Modalidad;Fecha_Ingreso;Activo;Sexo;Fecha_Nac
0xEF5CBFBB37B970469896304487A2E59D;3;1;2001;CO;P;2001-02-05 00:00:00;S;M;9/6/1973 00:00
0x056B49AF53310C23DFBEAA34EAB3A5A9;2;1;2001;CO;P;2001-03-30 00:00:00;S;M;2/8/1973 00:00
0x1AD3B329081E0475966CB20997A23290;2;1;2003;CO;P;2003-03-24 00:00:00;S;M;30/8/1973 00:00
0x590850F0100DAEBEF0711D047DB5593E;6;1;2004;CO;P;2004-02-24 00:00:00;S;F;10/10/1973 00:00
0xFD34096A2AB30223B6D8162238B19FE0;2;1;2001;CO;P;2001-02-23 00:00:00;S;M;10/10/1973 00:00
0x58BA874335567E7FB588CE92FBBA83C3;4;1;2001;CO;P;2001-03-02 00:00:00;S;F;18/10/1973 00:00
0xBF600A4900159A1665015DF67D6073E2;6;1;2004;CO;P;2004-03-18 00:00:00;S;M;1/7/1973 00:00
0x05DDF92E42290F92191A96A3414BD275;3;1;2002;CO;P;2002-03-11 00:00:00;S;M;5/9/1973 00:00
0x7D267C506DBAD7C47E1E6EFE0B2E91CF;5;1;2002;CO;P;2002-03-22 00:00:00;S;F;26/12/1973 00:00
0x9FB1B0F211AE649DA2DCE7774C79632A;6;1;2001;CO;P;2001-03-13 00:00:00;S;F;17/1/1974 00:00
0x4708453A19BF505E79AE3B718AC2E6FB;14;1;2009;CO;P;2009-03-13 00:00:00;S;M;1/3/1974 00:00
0xA078515A6123F67363FC5DD68EC613F3;7;2;2001;CO;P;2001-08-13 00:00:00;S;M;6/12/1973 00:00
0xA1644AC7A01B2607D5D3CA34DD28DFFE;2;1;2001;CO;P;2001-03-05 00:00:00;S;M;1/2/1974 00:00
0x29C48FA3515A7B399CFE57AF18F501C5;1;1;2005;CO;P;2004-11-09 00:00:00;S;M;2/6/1974 00:00
0x5D373571D5178DA9E8343B45570814D2;9;2;2001;CO;P;2001-07-30 00:00:00;S;M;7/12/1973 00:00
0xB80B139122FB858A1DB4021ACEF459B6;4;1;2004;CO;P;2004-01-05 00:00:00;S;M;2/4/1975 00:00
0x4DE89850C4A1E839960130869B13BDBD;4;1;2001;CO;P;2001-03-16 00:00:00;S;M;8/8/1974 00:00
0x27D376D96F94CF867A2AD81C111AD566;9;1;2001;CO;P;2001-02-15 00:00:00;S;M;16/4/1974 00:00
0xB6EDAFDEF3EE946D10DEABE652AB4513;16;1;2002;CO;P;2002-03-21 00:00:00;S;M;9/9/1974 00:00
0xDF5462212096E804B21CDB898F9FCBFB;7;1;2002;CO;P;2002-02-21 00:00:00;S;M;27/11/1974 00:00
0x36EC4252DBAEF1615FF30499680827BF;3;2;2001;CO;P;2001-07-11 00:00:00;S;M;10/2/1974 00:00
0x1C6A800176D79482BFAF7F35F3900946;5;1;2001;CO;P;2001-03-05 00:00:00;S;M;27/2/1974 00:00
0xC00BDB125A79E3864123A7417AB91DA8;4;1;2001;CO;P;2001-02-05 00:00:00;S;M;20/2/1974 00:00
0x3755FE890BE4581E6FBAE420A212857E;4;1;2001;CO;P;2001-02-28 00:00:00;S;F;11/4/1974 00:00
0x2F3AD61E6D40649400929BE85A828B1D;2;1;2003;CO;P;2003-03-17 00:00:00;S;M;16/5/1974 00:00
0x98BAD92B314715A3DCED3D032BD82874;4;1;2003;CO;P;2003-03-10 00:00:00;S;M;26/5/1974 00:00
0x84C4E82A01A2966DDE313C21FDFB22EE;4;1;2001;CO;P;2001-03-05 00:00:00;S;M;27/1/1974 00:00
0x4ADBC279BEA8882737865EC987F0544B;4;1;2002;CO;P;2002-03-14 00:00:00;S;M;9/9/1974 00:00
0x26240E224B6C59A147F450DBCB7B62C9;1;1;2005;CO;P;2005-03-09 00:00:00;S;M;28/7/1974 00:00
0x26240E224B6C59A147F450DBCB7B62C9;39;2;2004;CO;P;2004-08-09 00:00:00;S;M;28/7/1974 00:00
0x5841EC30FE029951754384B2A2DBA37E;2;1;2002;CO;P;2002-03-18 00:00:00;S;F;10/7/1974 00:00
0x68535301D39FA6A5ABCA39440B9BE8BB;6;2;2001;CO;P;2001-08-17 00:00:00;S;F;6/7/1974 00:00
0xBC2C1B0D68F81F03A4A9C59AA5B597D7;7;1;2002;CO;P;2002-03-12 00:00:00;S;M;22/7/1974 00:00
0x69974C343E808294538DA280094686CB;5;1;2001;CO;P;2001-03-12 00:00:00;S;F;12/12/1974 00:00
0xC6FBD12E86FFA225962A641B0DFEA51F;8;1;2003;CO;P;2003-03-11 00:00:00;S;M;4/9/1974 00:00
0xD6AF9AEFB2C1E89F5D0AD651EB4FCE25;7;2;2001;CO;P;2001-06-26 00:00:00;S;F;21/9/1974 00:00
0xBBFAE6E64B82EDF79BE4A84F41DEEF54;10;1;2001;CO;P;2001-03-05 00:00:00;S;F;7/7/1975 00:00
0xEB486EDB8C83811A66B781953068F16B;13;1;2001;CO;P;2001-02-19 00:00:00;S;M;10/11/1974 00:00
0x1514B46CA14A6E91E1D3243A6330D5A2;3;2;2001;CO;P;2001-08-07 00:00:00;S;M;26/9/1974 00:00
0x1D4EF016FD8194CCAC01EAB1AEDBCEC4;7;1;2003;CO;P;2002-12-13 00:00:00;S;F;8/3/1975 00:00
0x987E7B2D877615DCCEA15B47751843CD;4;1;2001;CO;P;2001-02-02 00:00:00;S;M;9/10/1974 00:00
0x150B953A62C6CC88D7EFE12DD1541DD4;16;1;2001;CO;P;2001-02-19 00:00:00;S;M;8/8/1975 00:00
0xD6E33C8CFBCAA099C328BFB61B1965CF;7;1;2001;CO;P;2001-01-24 00:00:00;S;F;19/4/1975 00:00
0x86C1478D61BA9C268FE799288B57A81B;4;1;2003;CO;P;2003-03-04 00:00:00;S;M;13/11/1974 00:00
0x4BCAD946AFF0A76C302FC347C05F0C2A;7;1;2005;CO;P;2005-03-21 00:00:00;S;F;25/4/1975 00:00
0xC5A083DE748AC3645A6CA47102A89AED;6;1;2001;CO;P;2001-02-01 00:00:00;S;M;6/5/1975 00:00
0xCBB727E1A414358CEF0D181FB496B4AB;13;1;2006;CO;P;2006-01-16 00:00:00;S;F;6/11/1974 00:00
0xF1B14BA1139097ED511158659EBD9453;6;1;2001;CO;P;2001-02-16 00:00:00;S;F;3/11/1974 00:00
0x26490AED94CE074540D44A22D246B00D;10;1;2010;CO;P;2010-03-19 00:00:00;S;F;12/6/1975 00:00
0x1832924F2A168661C51B39410BD6756D;13;1;2003;CO;P;2003-03-04 00:00:00;S;F;29/6/1975 00:00
0xC76440C6DEB5CFA68BCC4DAF40A6AE7B;1;1;2010;CO;P;2010-02-26 00:00:00;S;F;24/10/1974 00:00
0x512B1B5B5908597236B9D395A6912B88;4;1;2001;CO;P;2001-03-13 00:00:00;S;M;23/4/1975 00:00
0x2295DE2F966ABEDEB9BFA6385E7BE593;1;1;2003;CO;P;2003-03-10 00:00:00;S;M;14/12/1977 00:00
0xF7B2CDFF3DBE98AD6BDA2419EAD9F946;7;1;2001;CO;P;2001-03-22 00:00:00;S;M;12/2/1975 00:00
0xF5507EAA1F113960F7E5FCD7F9DE3DE9;4;1;2001;CO;P;2001-03-27 00:00:00;S;M;10/6/1975 00:00
0xC3D9C851F5575853341E6D1B3DFE85BB;4;1;2005;CO;P;2005-02-10 00:00:00;S;M;7/12/1974 00:00
0xBA18D4B40C37CE8F21B3CA3D2DD5ABBA;4;1;2003;CO;P;2003-02-10 00:00:00;S;M;5/1/1975 00:00
0xA307E2732EB66059739BFB53A32FC656;1;2;2010;CO;P;2010-08-02 00:00:00;S;M;18/2/1975 00:00
0xB60D25836BA6AA0D5B4F827E387D4151;5;1;2002;CO;P;2002-03-19 00:00:00;S;F;22/2/1975 00:00
0xE48DADC1D949D9C6A11C2A6DD0DFF9F1;2;1;2001;CO;P;2001-02-16 00:00:00;S;F;16/3/1975 00:00
0x0D5C214D194203B40A725E825645D942;4;1;2001;CO;P;2001-03-29 00:00:00;S;M;2/4/1975 00:00
0x4ED721107295E44605544F2953AB6D75;4;1;2004;CO;P;2004-05-07 00:00:00;S;F;13/3/1975 00:00
0x719DB84C83D3D611E5E91D9491A5B276;4;1;2001;CO;P;2001-02-19 00:00:00;S;M;8/4/1975 00:00
0xD60285066C36ED2CAF257193286A89B0;3;1;2001;CO;P;2001-03-30 00:00:00;S;M;15/4/1975 00:00
0x8E3E216C1941F3C30579A343081FB496;7;1;2005;CO;P;2005-03-11 00:00:00;S;M;29/8/1975 00:00
0xDEBF06BF32D2728F434209CBB480EFFC;1;2;2004;CO;P;2004-08-18 00:00:00;S;M;3/10/1975 00:00
0x2104E8F2A2AE6C02D1380320DE8570DF;1;1;2010;CO;P;2010-02-25 00:00:00;S;M;17/6/1975 00:00
0xF8E5C81F9195A6F74AF2F301E4762CCE;6;1;2004;CO;P;2004-02-16 00:00:00;S;F;19/9/1975 00:00
0x30D2AED5A96E958DCD23D825F09568A9;5;1;2002;CO;P;2002-02-04 00:00:00;S;F;10/11/1975 00:00
0xEC0518834B63DC3A847E360F9884E512;6;2;2001;CO;P;2001-07-24 00:00:00;S;M;5/5/1975 00:00
0x232473389252AE566FB67E43FA9EE7CA;7;1;2002;CO;P;2002-03-05 00:00:00;S;M;13/3/1976 00:00
0xD4ADB15DC03E4A26EE557805E78E05E0;9;1;2001;CO;P;2001-02-14 00:00:00;S;M;12/6/1975 00:00
0xF2981B0D7E31AE846F3B25EB45729D66;1;1;2006;CO;P;2006-03-10 00:00:00;S;M;18/6/1975 00:00
0x8BAA383DC51A3DD70FD77C4E6D2999C0;7;1;2001;CO;P;2001-01-26 00:00:00;S;F;18/7/1975 00:00
0x4C6178AA73A0AA9D094204D4AE5EC69B;2;1;2002;CO;P;2002-03-19 00:00:00;S;F;19/5/1975 00:00
0x2CBE2D596E201F87430D5B080E7A399D;13;1;2003;CO;P;2003-03-11 00:00:00;S;M;6/7/1975 00:00
0x884FBD88167A6D46E96E0EE0042F9E00;8;1;2001;CO;P;2001-03-12 00:00:00;S;M;8/1/1976 00:00
0xF6725D4E3D23521662A0B8FE8BD86B48;6;2;2001;CO;P;2001-08-03 00:00:00;S;F;5/7/1975 00:00
0xC513E3EFBEBA39FB7F7480345E407DA9;14;1;2006;CO;P;2006-02-06 00:00:00;S;F;8/12/1971 00:00
0xC00D4E77572517A20C35E8A5284B5EE2;6;2;2004;CO;P;2004-08-23 00:00:00;S;F;6/12/1975 00:00
0xC00D4E77572517A20C35E8A5284B5EE2;7;1;2004;CO;P;2004-03-26 00:00:00;S;F;6/12/1975 00:00
0xE0D33D8CB0B58FB1A14CE9BF5F9814FA;1;2;2005;CO;P;2005-07-08 00:00:00;S;M;9/8/1976 00:00
0x22AE9E97CDC077C7ADB74E9642549E12;2;1;2003;CO;P;2003-03-10 00:00:00;S;F;7/10/1975 00:00
0xCA1D860BD1B9E8E536A1ECFD042BB8DE;2;1;2001;CO;P;2001-03-27 00:00:00;S;M;14/10/1975 00:00
0xC272E2C138BFEFA34562B0946A139335;2;1;2003;CO;P;2003-03-20 00:00:00;S;M;2/2/1977 00:00
0x07665145AFB8621EDB062D59319F45C7;1;1;2010;CO;P;2010-02-12 00:00:00;S;M;30/11/1975 00:00
0x2DB70EE6567FC6F6BB290FF5237A4A6A;7;1;2001;CO;P;2001-03-15 00:00:00;S;F;3/11/1975 00:00
0xD5B08B55A92E0FD77E8FF73F187868CB;1;2;2002;CO;P;2002-08-05 00:00:00;S;M;5/8/1974 00:00
0x0BFA57711A0051A9891756CCE57E568F;2;1;2001;CO;P;2001-03-15 00:00:00;S;M;25/9/1975 00:00
0xDD199BBE1ABDD1F846D53426C0E2EC08;13;1;2001;CO;P;2001-03-15 00:00:00;S;M;30/9/1975 00:00
